学校ID,登録番号,書名,書名ヨミ,書名巻次,版次,叢書名,叢書名ヨミ,叢書名巻次,タイトル関連情報,タイトル関連情報ヨミ,各巻書名,各巻書名ヨミ,各巻書名巻次,著者,著者ヨミ,各巻著者,各巻著者ヨミ,出版地,出版者,出版年,ページ数,サイズ,一般注記,ISBN,ISBN13,TRCナンバー,件名,件名ヨミ,内容,自校分類,NDC,TRC,書誌ID,請求記号,受入年月日
160,160-0-41462,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,５,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１５．６,３３８ｐ,１９ｃｍ,,4-89637-507-7,978-4-89637-507-7,,,,,913.6,,0,160-687194786545,913.6-フ-5,2019-07-03
160,160-0-41463,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,６,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１５．１１,４０３ｐ,１９ｃｍ,,4-89637-538-1,978-4-89637-538-1,,,,,913.6,,0,160-687194786546,913.6-フ-6,2019-07-03
160,160-0-41464,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,７,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１６．５,４０１ｐ,１９ｃｍ,,4-89637-561-9,978-4-89637-561-9,,,,,913.6,,0,160-687194786547,913.6-フ-7,2019-07-03
160,160-0-41465,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,８,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１６．９,３３９ｐ,１９ｃｍ,,4-89637-577-0,978-4-89637-577-0,,,,,913.6,,0,160-687194786548,913.6-フ-8,2019-07-03
160,160-0-41466,大量廃棄社会,タイリョウ／ハイキ／シャカイ,,,光文社新書,コウブンシャ／シンショ,,アパレルとコンビニの不都合な真実,アパレル／ト／コンビニ／ノ／フツゴウナ／シンジツ,,,,"仲村／和代∥著  藤田／さつき∥著","ナカムラ，カズヨ  フジタ，サツキ",,,東京,光文社,２０１９．４,３１８ｐ,１８ｃｍ,,4-334-04405-3,978-4-334-04405-3,,,,,336,,0,160-687194786602,"336-ナ ",2019-07-03
160,160-0-41467,七訂食品成分表,ナナテイ／ショクヒン／セイブンヒョウ,２０１９,,,,,,,,,,香川／明夫∥監修,カガワ，アキオ,,,東京,女子栄養大学出版部,２０１９．２,３６２，４００ｐ,２６×２２ｃｍ,本表編と資料編の2分冊を合冊させて1冊としている,4-7895-1019-6,978-4-7895-1019-6,,,,,596,,0,160-687194786603,"596-カ ",2019-07-03
160,160-0-41468,腐女医の医者道！,フジョイ／ノ／イシャドウ,,,メディアファクトリーのコミックエッセイ,メディアファクトリー／ノ／コミック／エッセイ,,,,,,,さーたり∥著,サータリ,,,東京,ＫＡＤＯＫＡＷＡ,２０１６．５,１２０ｐ,２１ｃｍ,,4-04-068176-4,978-4-04-068176-4,,,,,726.1,,0,160-687194786574,726.1-サ-1,2019-07-03
160,160-0-41469,腐女医の医者道！,フジョイ／ノ／イシャドウ,２,,メディアファクトリーのコミックエッセイ,メディアファクトリー／ノ／コミック／エッセイ,,,,外科医でオタクで、３人子育て大変だ！編,ゲカイ／デ／オタク／デ／サンニン／コソダテ／タイヘン／ダ／ヘン,,さーたり∥著,サータリ,,,東京,ＫＡＤＯＫＡＷＡ,２０１７．１２,１３６ｐ,２１ｃｍ,,4-04-069541-9,978-4-04-069541-9,,,,,726.1,,0,160-687194786575,726.1-サ-2,2019-07-03
160,160-0-41470,ハイキュー！！ショーセツバン！！,ハイキュー／ショーセツ／バン,Ⅹ,,ＪＵＭＰ　ｊ　ＢＯＯＫＳ,ジャンプ／ジェイ／ブックス,,,,舞台裏の景色,ブタイウラ／ノ／ケシキ,,"星／希代子∥著  古舘／春一∥原作","ホシ，キヨコ  フルダテ，ハルイチ",,,東京,集英社,２０１８．１２,１８８ｐ,１８ｃｍ,,4-08-703461-5,978-4-08-703461-5,,,,,913.6,,0,160-687194786570,913.6-ホ-10,2019-07-03
160,160-0-41471,５分後に立場逆転の恋,ゴフンゴ／ニ／タチバ／ギャクテン／ノ／コイ,,,角川ビーンズ文庫,カドカワ／ビーンズ／ブンコ,,,,,,,恋する実行委員会∥編,コイスル／ジッコウ／イインカイ,,,東京,ＫＡＤＯＫＡＷＡ,２０１９．２,２４９ｐ,１５ｃｍ,,4-04-107178-6,978-4-04-107178-6,,,,,913.6,,0,160-687194786561,"913.6-コ ",2019-07-03
